timestamp,device_id,power_consumption,device_status
2024-01-01 00:00:00,device_86,0.0,0
2024-01-01 00:15:00,device_52,0.0,0
2024-01-01 00:30:00,device_71,0.0,0
2024-01-01 00:45:00,device_54,0.0,0
2024-01-01 01:00:00,device_49,0.0,0
2024-01-01 01:15:00,device_23,0.0,0
2024-01-01 01:30:00,device_39,0.0,0
2024-01-01 01:45:00,device_1,0.0,0
2024-01-01 02:00:00,device_27,129.0,1
2024-01-01 02:15:00,device_84,0.0,0
2024-01-01 02:30:00,device_57,0.0,0
2024-01-01 02:45:00,device_28,0.0,0
2024-01-01 03:00:00,device_95,0.0,0
2024-01-01 03:15:00,device_11,133.19,1
2024-01-01 03:30:00,device_80,0.0,0
2024-01-01 03:45:00,device_97,0.0,0
2024-01-01 04:00:00,device_40,0.0,0
2024-01-01 04:15:00,device_26,0.0,0
2024-01-01 04:30:00,device_6,0.0,0
2024-01-01 04:45:00,device_61,0.0,0
2024-01-01 05:00:00,device_99,0.0,0
2024-01-01 05:15:00,device_54,0.0,0
2024-01-01 05:30:00,device_74,0.0,0
2024-01-01 05:45:00,device_90,0.0,0
2024-01-01 06:00:00,device_52,0.0,0
2024-01-01 06:15:00,device_84,0.0,0
2024-01-01 06:30:00,device_97,0.0,0
2024-01-01 06:45:00,device_14,0.0,0
2024-01-01 07:00:00,device_29,0.0,0
2024-01-01 07:15:00,device_90,0.0,0
2024-01-01 07:30:00,device_7,0.0,0
2024-01-01 07:45:00,device_16,0.0,0
2024-01-01 08:00:00,device_60,149.39,1
2024-01-01 08:15:00,device_77,0.0,0
2024-01-01 08:30:00,device_97,0.0,0
2024-01-01 08:45:00,device_79,0.0,0
2024-01-01 09:00:00,device_65,145.34,1
2024-01-01 09:15:00,device_58,0.0,0
2024-01-01 09:30:00,device_96,0.0,0
2024-01-01 09:45:00,device_58,0.0,0
2024-01-01 10:00:00,device_32,0.0,0
2024-01-01 10:15:00,device_36,0.0,0
2024-01-01 10:30:00,device_67,0.0,0
2024-01-01 10:45:00,device_31,103.87,1
2024-01-01 11:00:00,device_37,0.0,0
2024-01-01 11:15:00,device_43,0.0,0
2024-01-01 11:30:00,device_70,0.0,0
2024-01-01 11:45:00,device_20,0.0,0
2024-01-01 12:00:00,device_89,0.0,0
2024-01-01 12:15:00,device_28,0.0,0
2024-01-01 12:30:00,device_53,123.3,1
2024-01-01 12:45:00,device_8,0.0,0
2024-01-01 13:00:00,device_54,1661.88,1
2024-01-01 13:15:00,device_90,0.0,0
2024-01-01 13:30:00,device_98,0.0,0
