timestamp,temperature,humidity,weather_condition
2024-01-01 00:00:00,10.43,64.62,Windy
2024-01-01 00:15:00,19.02,51.23,Sunny
2024-01-01 00:30:00,18.97,80.62,Cloudy
2024-01-01 00:45:00,17.37,64.62,Humid
2024-01-01 01:00:00,16.32,84.11,Windy
2024-01-01 01:15:00,7.27,81.66,Windy
2024-01-01 01:30:00,7.78,73.84,Cloudy
2024-01-01 01:45:00,6.6,87.29,Rainy
2024-01-01 02:00:00,8.44,84.68,Sunny
2024-01-01 02:15:00,15.88,68.02,Cloudy
2024-01-01 02:30:00,5.07,51.68,Humid
2024-01-01 02:45:00,15.17,89.88,Windy
2024-01-01 03:00:00,10.67,79.68,Humid
2024-01-01 03:15:00,13.98,83.5,Sunny
2024-01-01 03:30:00,8.04,69.44,Rainy
2024-01-01 03:45:00,8.41,79.99,Windy
2024-01-01 04:00:00,6.5,41.53,Cloudy
2024-01-01 04:15:00,18.2,44.24,Rainy
2024-01-01 04:30:00,5.15,43.23,Sunny
2024-01-01 04:45:00,8.6,75.05,Humid
2024-01-01 05:00:00,6.77,85.01,Rainy
2024-01-01 05:15:00,19.75,44.35,Rainy
2024-01-01 05:30:00,5.7,85.76,Humid
2024-01-01 05:45:00,11.4,66.0,Humid
2024-01-01 06:00:00,8.07,71.79,Humid
2024-01-01 06:15:00,13.27,44.09,Humid
2024-01-01 06:30:00,9.26,51.33,Cloudy
2024-01-01 06:45:00,8.7,76.48,Sunny
2024-01-01 07:00:00,10.32,64.27,Windy
2024-01-01 07:15:00,6.61,65.36,Sunny
2024-01-01 07:30:00,13.49,46.14,Rainy
2024-01-01 07:45:00,16.62,62.59,Cloudy
2024-01-01 08:00:00,14.98,66.44,Humid
2024-01-01 08:15:00,9.37,73.04,Sunny
2024-01-01 08:30:00,18.92,76.14,Windy
2024-01-01 08:45:00,19.53,72.77,Rainy
2024-01-01 09:00:00,7.01,53.48,Windy
2024-01-01 09:15:00,9.13,79.22,Windy
2024-01-01 09:30:00,15.27,71.6,Humid
2024-01-01 09:45:00,18.22,86.89,Humid
2024-01-01 10:00:00,19.07,55.68,Humid
2024-01-01 10:15:00,15.3,53.49,Windy
2024-01-01 10:30:00,18.31,65.79,Sunny
2024-01-01 10:45:00,5.61,87.71,Windy
2024-01-01 11:00:00,19.92,82.57,Rainy
2024-01-01 11:15:00,18.63,75.09,Humid
2024-01-01 11:30:00,9.39,42.48,Sunny
2024-01-01 11:45:00,5.72,72.46,Rainy
2024-01-01 12:00:00,10.47,46.32,Cloudy
2024-01-01 12:15:00,14.61,66.36,Rainy
2024-01-01 12:30:00,19.56,45.15,Cloudy
2024-01-01 12:45:00,18.97,56.04,Windy
2024-01-01 13:00:00,15.7,68.84,Cloudy
2024-01-01 13:15:00,12.19,76.99,Sunny
2024-01-01 13:30:00,14.57,61.31,Windy
2024-01-01 13:45:00,16.39,68.37,Sunny
2024-01-01 14:00:00,5.5,44.22,Rainy
2024-01-01 14:15:00,9.42,46.87,Rainy
2024-01-01 14:30:00,7.97,69.74,Sunny
2024-01-01 14:45:00,14.54,56.03,Windy
2024-01-01 15:00:00,17.17,70.57,Rainy
2024-01-01 15:15:00,10.63,44.65,Windy
2024-01-01 15:30:00,13.43,40.59,Rainy
2024-01-01 15:45:00,6.26,53.86,Cloudy
2024-01-01 16:00:00,12.88,60.05,Sunny
2024-01-01 16:15:00,9.04,54.17,Windy
2024-01-01 16:30:00,8.57,89.3,Humid
2024-01-01 16:45:00,14.68,46.6,Rainy
2024-01-01 17:00:00,5.54,56.9,Rainy
2024-01-01 17:15:00,15.12,84.02,Sunny
2024-01-01 17:30:00,14.36,44.1,Sunny
2024-01-01 17:45:00,18.41,48.18,Humid
2024-01-01 18:00:00,12.07,72.4,Cloudy
2024-01-01 18:15:00,10.72,78.42,Cloudy
2024-01-01 18:30:00,8.41,59.55,Rainy
2024-01-01 18:45:00,8.12,43.13,Sunny
2024-01-01 19:00:00,6.04,68.88,Humid
2024-01-01 19:15:00,7.86,67.1,Windy
2024-01-01 19:30:00,15.38,46.14,Cloudy
2024-01-01 19:45:00,9.4,62.92,Humid
2024-01-01 20:00:00,10.74,59.93,Cloudy
2024-01-01 20:15:00,10.55,70.93,Windy
2024-01-01 20:30:00,11.54,80.96,Humid
2024-01-01 20:45:00,19.8,51.46,Sunny
2024-01-01 21:00:00,12.09,52.32,Rainy
2024-01-01 21:15:00,9.03,41.84,Sunny
2024-01-01 21:30:00,15.56,89.34,Windy
2024-01-01 21:45:00,10.05,56.98,Rainy
2024-01-01 22:00:00,16.75,54.61,Rainy
2024-01-01 22:15:00,16.03,78.81,Windy
2024-01-01 22:30:00,8.05,48.93,Humid
2024-01-01 22:45:00,7.51,47.67,Cloudy
2024-01-01 23:00:00,8.35,58.54,Humid
2024-01-01 23:15:00,9.75,78.77,Sunny
2024-01-01 23:30:00,12.72,58.77,Windy
2024-01-01 23:45:00,12.06,83.26,Cloudy
2024-01-02 00:00:00,14.29,68.61,Sunny
2024-01-02 00:15:00,17.61,49.79,Humid
2024-01-02 00:30:00,9.34,87.26,Cloudy
2024-01-02 00:45:00,7.19,54.36,Rainy
2024-01-02 01:00:00,8.17,42.74,Sunny
2024-01-02 01:15:00,17.8,56.29,Sunny
2024-01-02 01:30:00,15.83,73.65,Sunny
2024-01-02 01:45:00,17.92,80.1,Cloudy
2024-01-02 02:00:00,18.85,81.88,Sunny
2024-01-02 02:15:00,17.48,67.19,Windy
2024-01-02 02:30:00,13.61,63.9,Cloudy
2024-01-02 02:45:00,17.23,60.72,Humid
