timestamp,room_id,temperature,humidity,weather_condition
2024-01-01 00:00:00,room_3,19.32,48.83,Humid
2024-01-01 00:15:00,room_4,18.31,44.55,Humid
2024-01-01 00:30:00,room_2,5.07,83.28,Rainy
2024-01-01 00:45:00,room_3,14.24,44.12,Cloudy
2024-01-01 01:00:00,room_3,5.54,63.27,Cloudy
2024-01-01 01:15:00,room_3,7.35,71.64,Rainy
2024-01-01 01:30:00,room_2,5.73,75.65,Humid
2024-01-01 01:45:00,room_0,11.51,82.12,Cloudy
2024-01-01 02:00:00,room_2,8.43,88.03,Rainy
2024-01-01 02:15:00,room_0,6.68,60.11,Cloudy
2024-01-01 02:30:00,room_3,6.98,88.71,Sunny
2024-01-01 02:45:00,room_2,17.65,68.81,Windy
2024-01-01 03:00:00,room_0,12.28,41.77,Rainy
2024-01-01 03:15:00,room_0,17.15,87.38,Sunny
2024-01-01 03:30:00,room_1,8.32,46.28,Humid
2024-01-01 03:45:00,room_3,11.65,42.76,Humid
2024-01-01 04:00:00,room_1,9.4,40.01,Rainy
2024-01-01 04:15:00,room_0,14.57,50.08,Humid
2024-01-01 04:30:00,room_3,11.22,51.94,Humid
2024-01-01 04:45:00,room_0,8.33,59.19,Humid
2024-01-01 05:00:00,room_2,12.21,50.03,Humid
2024-01-01 05:15:00,room_0,13.82,83.68,Sunny
2024-01-01 05:30:00,room_0,5.41,67.63,Sunny
2024-01-01 05:45:00,room_3,7.12,58.86,Rainy
2024-01-01 06:00:00,room_0,6.39,55.5,Humid
2024-01-01 06:15:00,room_1,14.73,53.4,Rainy
2024-01-01 06:30:00,room_0,19.48,79.08,Cloudy
2024-01-01 06:45:00,room_4,8.84,71.66,Rainy
2024-01-01 07:00:00,room_2,12.66,73.78,Rainy
2024-01-01 07:15:00,room_3,17.91,54.38,Cloudy
2024-01-01 07:30:00,room_0,6.47,45.28,Humid
2024-01-01 07:45:00,room_0,7.11,48.46,Sunny
2024-01-01 08:00:00,room_3,19.66,45.26,Humid
2024-01-01 08:15:00,room_4,18.97,40.35,Sunny
2024-01-01 08:30:00,room_4,6.68,64.33,Rainy
2024-01-01 08:45:00,room_0,11.85,57.18,Humid
2024-01-01 09:00:00,room_1,10.85,85.18,Windy
2024-01-01 09:15:00,room_2,17.04,54.03,Sunny
2024-01-01 09:30:00,room_3,14.71,73.09,Humid
2024-01-01 09:45:00,room_2,19.87,76.67,Windy
2024-01-01 10:00:00,room_2,11.37,83.99,Humid
2024-01-01 10:15:00,room_3,16.77,48.23,Cloudy
2024-01-01 10:30:00,room_0,8.86,88.49,Humid
2024-01-01 10:45:00,room_3,6.2,41.49,Cloudy
2024-01-01 11:00:00,room_3,16.74,56.97,Rainy
2024-01-01 11:15:00,room_3,10.65,54.77,Rainy
2024-01-01 11:30:00,room_2,16.78,76.13,Windy
